topic_id,source,n,mean_v_score,max_v_score,pct_valid_all_8,pct_pass_v1,pct_pass_v2,pct_pass_v3,pct_pass_v4,pct_pass_v5,pct_pass_v6,pct_pass_v7,pct_pass_v8
T01,ai,30,7.0,8,60.0,68.96551724137932,96.55172413793103,90.0,90.0,96.66666666666667,100.0,93.33333333333333,70.0
T01,human,10,4.6,8,30.0,70.0,60.0,40.0,30.0,70.0,60.0,70.0,60.0
T02,ai,30,7.724137931034483,8,76.66666666666667,96.55172413793103,100.0,100.0,89.65517241379311,93.10344827586206,100.0,96.55172413793103,96.55172413793103
T02,human,10,3.0,8,30.0,50.0,40.0,30.0,30.0,40.0,40.0,40.0,30.0
T03,ai,30,6.966666666666667,8,43.333333333333336,73.33333333333333,96.66666666666667,100.0,70.0,93.33333333333333,100.0,90.0,73.33333333333333
T03,human,10,4.9,8,20.0,50.0,60.0,40.0,40.0,90.0,70.0,90.0,50.0
T04,ai,30,6.966666666666667,8,33.33333333333333,83.33333333333334,96.66666666666667,73.33333333333333,70.0,93.33333333333333,100.0,96.66666666666667,83.33333333333334
T04,human,10,4.222222222222222,8,20.0,77.77777777777779,66.66666666666666,55.55555555555556,22.22222222222222,66.66666666666666,44.44444444444444,44.44444444444444,44.44444444444444
T05,ai,30,6.413793103448276,8,36.666666666666664,79.3103448275862,86.20689655172413,86.20689655172413,75.86206896551724,89.65517241379311,72.41379310344827,93.10344827586206,58.620689655172406
T05,human,10,5.666666666666667,8,20.0,88.88888888888889,77.77777777777779,77.77777777777779,66.66666666666666,66.66666666666666,55.55555555555556,55.55555555555556,77.77777777777779
T06,ai,30,6.8,8,50.0,80.0,96.66666666666667,86.66666666666667,83.33333333333334,96.66666666666667,76.66666666666667,83.33333333333334,76.66666666666667
T06,human,10,5.3,8,40.0,80.0,70.0,60.0,50.0,70.0,60.0,70.0,70.0
T07,ai,30,6.866666666666666,8,36.666666666666664,73.33333333333333,100.0,93.33333333333333,83.33333333333334,90.0,100.0,73.33333333333333,73.33333333333333
T07,human,10,4.888888888888889,8,10.0,77.77777777777779,77.77777777777779,66.66666666666666,22.22222222222222,77.77777777777779,22.22222222222222,88.88888888888889,55.55555555555556
T08,ai,30,7.3,8,50.0,100.0,100.0,90.0,66.66666666666666,100.0,96.66666666666667,80.0,96.66666666666667
T08,human,10,3.4,8,0.0,50.0,50.0,30.0,40.0,40.0,20.0,70.0,40.0
T09,ai,30,6.344827586206897,8,16.666666666666664,64.28571428571429,96.42857142857143,89.65517241379311,62.06896551724138,89.65517241379311,100.0,79.3103448275862,58.620689655172406
T09,human,10,5.9,8,40.0,80.0,90.0,60.0,50.0,90.0,50.0,90.0,80.0
T10,ai,30,7.0344827586206895,8,43.333333333333336,75.86206896551724,100.0,93.10344827586206,72.41379310344827,96.55172413793103,100.0,89.65517241379311,75.86206896551724
T10,human,10,6.888888888888889,8,40.0,100.0,100.0,77.77777777777779,66.66666666666666,88.88888888888889,66.66666666666666,100.0,88.88888888888889
T11,ai,30,6.448275862068965,8,30.0,68.96551724137932,93.10344827586206,82.75862068965517,55.172413793103445,93.10344827586206,100.0,93.10344827586206,58.620689655172406
T11,human,10,3.4,8,30.0,60.0,50.0,30.0,30.0,40.0,40.0,50.0,40.0
T12,ai,30,6.714285714285714,8,30.0,67.85714285714286,96.42857142857143,96.42857142857143,60.71428571428571,96.42857142857143,100.0,85.71428571428571,67.85714285714286
T12,human,10,3.9,8,20.0,70.0,50.0,40.0,20.0,60.0,50.0,60.0,40.0
